Files already downloaded and verified
('Finish teacher outputs:', 23.630568981170654, 's')
Train Epoch: 1 [0/50000 (0%)], Loss: 4.329533, Top1:3.125, Top5:7.812
Train Epoch: 1 [640/50000 (1%)], Loss: 3.908400, Top1:2.983, Top5:14.062
Train Epoch: 1 [1280/50000 (3%)], Loss: 4.038567, Top1:5.060, Top5:16.964
Train Epoch: 1 [1920/50000 (4%)], Loss: 3.853355, Top1:5.897, Top5:19.355
Train Epoch: 1 [2560/50000 (5%)], Loss: 3.858472, Top1:7.241, Top5:21.761
Train Epoch: 1 [3200/50000 (6%)], Loss: 3.810786, Top1:8.548, Top5:23.958
Train Epoch: 1 [3840/50000 (8%)], Loss: 3.743298, Top1:9.042, Top5:25.410
Train Epoch: 1 [4480/50000 (9%)], Loss: 3.426810, Top1:9.551, Top5:26.629
Train Epoch: 1 [5120/50000 (10%)], Loss: 3.695321, Top1:10.031, Top5:27.585
Train Epoch: 1 [5760/50000 (12%)], Loss: 3.464181, Top1:10.457, Top5:28.640
Train Epoch: 1 [6400/50000 (13%)], Loss: 3.672979, Top1:10.829, Top5:29.254
Train Epoch: 1 [7040/50000 (14%)], Loss: 3.564049, Top1:11.303, Top5:30.138
Train Epoch: 1 [7680/50000 (15%)], Loss: 3.366080, Top1:11.996, Top5:31.043
Train Epoch: 1 [8320/50000 (17%)], Loss: 3.343478, Top1:12.190, Top5:31.632
Train Epoch: 1 [8960/50000 (18%)], Loss: 3.377684, Top1:12.522, Top5:32.336
Train Epoch: 1 [9600/50000 (19%)], Loss: 3.394160, Top1:12.914, Top5:32.875
Train Epoch: 1 [10240/50000 (20%)], Loss: 3.385558, Top1:13.238, Top5:33.278
Train Epoch: 1 [10880/50000 (22%)], Loss: 3.301053, Top1:13.624, Top5:33.982
Train Epoch: 1 [11520/50000 (23%)], Loss: 3.386217, Top1:13.924, Top5:34.513
Train Epoch: 1 [12160/50000 (24%)], Loss: 3.503244, Top1:13.997, Top5:34.817
Train Epoch: 1 [12800/50000 (26%)], Loss: 3.288541, Top1:14.272, Top5:35.269
Train Epoch: 1 [13440/50000 (27%)], Loss: 3.352763, Top1:14.596, Top5:35.849
Train Epoch: 1 [14080/50000 (28%)], Loss: 3.212756, Top1:14.868, Top5:36.206
Train Epoch: 1 [14720/50000 (29%)], Loss: 3.362033, Top1:15.118, Top5:36.648
Train Epoch: 1 [15360/50000 (31%)], Loss: 3.084692, Top1:15.385, Top5:37.033
Train Epoch: 1 [16000/50000 (32%)], Loss: 3.326319, Top1:15.637, Top5:37.544
Train Epoch: 1 [16640/50000 (33%)], Loss: 3.427799, Top1:15.870, Top5:37.901
Train Epoch: 1 [17280/50000 (35%)], Loss: 3.087806, Top1:16.213, Top5:38.313
Train Epoch: 1 [17920/50000 (36%)], Loss: 3.241711, Top1:16.442, Top5:38.701
Train Epoch: 1 [18560/50000 (37%)], Loss: 3.041837, Top1:16.651, Top5:39.143
Train Epoch: 1 [19200/50000 (38%)], Loss: 3.252090, Top1:16.814, Top5:39.452
Train Epoch: 1 [19840/50000 (40%)], Loss: 3.212319, Top1:17.012, Top5:39.736
Train Epoch: 1 [20480/50000 (41%)], Loss: 3.243413, Top1:17.231, Top5:40.021
Train Epoch: 1 [21120/50000 (42%)], Loss: 3.195940, Top1:17.339, Top5:40.323
Train Epoch: 1 [21760/50000 (43%)], Loss: 3.073531, Top1:17.499, Top5:40.662
Train Epoch: 1 [22400/50000 (45%)], Loss: 3.098696, Top1:17.713, Top5:40.950
Train Epoch: 1 [23040/50000 (46%)], Loss: 3.037451, Top1:17.850, Top5:41.235
Train Epoch: 1 [23680/50000 (47%)], Loss: 3.180163, Top1:18.076, Top5:41.539
Train Epoch: 1 [24320/50000 (49%)], Loss: 2.929964, Top1:18.233, Top5:41.798
Train Epoch: 1 [24960/50000 (50%)], Loss: 2.857941, Top1:18.426, Top5:42.112
Train Epoch: 1 [25600/50000 (51%)], Loss: 3.014180, Top1:18.606, Top5:42.390
Train Epoch: 1 [26240/50000 (52%)], Loss: 2.762779, Top1:18.727, Top5:42.678
Train Epoch: 1 [26880/50000 (54%)], Loss: 2.873050, Top1:18.858, Top5:42.963
Train Epoch: 1 [27520/50000 (55%)], Loss: 3.135907, Top1:19.033, Top5:43.250
Train Epoch: 1 [28160/50000 (56%)], Loss: 2.899095, Top1:19.211, Top5:43.555
